"V1" "V2" "V3" "V4" "V5" "covar"
"1" 0 0 0 0 0 0
"2" 0 0 0 0 0 0
"3" 1 1 0 0 0 1
"4" 1 0 0 0 1 1
"5" 0 0 0 1 1 1
"6" 0 1 0 0 1 1
"7" 0 0 0 0 0 0
"8" 0 1 0 1 1 1
"9" 0 0 0 0 0 0
"10" 1 0 0 0 0 0
"11" 1 0 0 0 0 0
"12" 1 0 0 0 1 1
"13" 0 0 0 0 1 0
"14" 0 0 0 1 0 0
"15" 1 0 0 0 0 0
"16" 1 0 1 0 1 1
"17" 0 0 0 0 0 0
"18" 0 0 0 0 0 0
"19" 0 1 0 1 1 1
"20" 1 0 0 0 0 0
"21" 0 0 0 0 0 0
"22" 0 0 0 1 1 1
"23" 1 0 0 0 0 0
"24" 1 0 0 0 0 0
"25" 1 0 0 0 0 0
"26" 1 0 0 1 1 1
"27" 0 0 0 1 1 1
"28" 0 0 0 0 0 0
"29" 1 0 0 1 1 1
"30" 0 0 0 0 0 0
"31" 1 0 0 0 0 0
"32" 0 1 1 0 1 1
"33" 0 1 0 0 0 0
"34" 1 0 0 0 1 1
"35" 1 1 0 0 0 1
"36" 1 0 0 0 1 1
"37" 0 0 0 0 0 0
"38" 1 0 0 1 1 1
"39" 0 1 0 0 1 1
"40" 0 0 0 0 1 0
"41" 0 0 0 1 0 0
"42" 0 0 0 0 1 0
"43" 0 0 0 1 1 1
"44" 0 0 0 0 0 0
"45" 0 0 0 0 0 0
"46" 1 0 0 1 0 1
"47" 1 0 0 1 0 1
"48" 0 0 0 1 1 1
"49" 0 0 0 0 0 0
"50" 0 0 0 0 1 0
"51" 1 0 0 0 1 1
"52" 1 0 0 0 1 1
"53" 1 0 0 0 0 0
"54" 0 0 0 0 0 0
"55" 1 0 0 0 0 0
"56" 0 0 0 1 1 1
"57" 0 0 1 0 1 1
"58" 1 0 0 0 0 0
"59" 1 0 1 0 0 1
"60" 1 0 0 0 0 0
"61" 0 0 0 0 0 0
"62" 0 0 0 0 0 0
"63" 0 0 1 0 1 1
"64" 0 0 0 0 1 0
"65" 1 0 0 0 1 1
"66" 0 0 0 1 1 1
"67" 0 1 0 1 1 1
"68" 0 0 0 1 1 1
"69" 0 0 0 0 0 0
"70" 0 0 0 0 1 0
"71" 0 1 0 0 0 0
"72" 0 1 0 0 1 1
"73" 0 0 0 0 0 0
"74" 0 0 0 0 1 0
"75" 0 1 0 0 0 0
"76" 1 0 0 0 1 1
"77" 0 0 1 0 1 1
"78" 0 1 0 1 1 1
"79" 0 1 0 0 0 0
"80" 0 0 0 1 0 0
"81" 0 1 0 0 1 1
"82" 0 0 0 0 1 0
"83" 0 1 0 0 1 1
"84" 0 1 1 0 0 1
"85" 1 0 0 0 0 0
"86" 1 0 0 1 1 1
"87" 0 0 0 0 1 0
"88" 1 1 0 1 0 1
"89" 0 0 0 0 1 0
"90" 0 0 0 0 0 0
"91" 0 0 1 0 0 0
"92" 0 1 1 1 0 1
"93" 1 0 0 1 1 1
"94" 1 0 0 0 0 0
"95" 0 0 0 0 1 0
"96" 0 1 0 1 1 1
"97" 0 0 0 0 0 0
"98" 1 0 0 0 1 1
"99" 1 0 0 0 1 1
"100" 1 0 0 0 1 1
"101" 0 0 0 0 0 0
"102" 1 0 0 0 0 0
"103" 1 1 1 0 1 1
"104" 1 0 0 0 1 1
"105" 0 1 0 0 0 0
"106" 1 0 0 0 0 0
"107" 0 1 0 0 1 1
"108" 0 0 0 0 1 0
"109" 0 0 0 0 0 0
"110" 1 0 0 1 1 1
"111" 0 0 0 0 1 0
"112" 0 0 0 0 1 0
"113" 0 0 0 1 1 1
"114" 1 0 0 1 1 1
"115" 0 0 0 0 1 0
"116" 0 0 0 0 0 0
"117" 0 0 0 0 1 0
"118" 1 0 0 0 1 1
"119" 0 0 0 0 0 0
"120" 1 1 1 0 1 1
"121" 0 0 0 1 1 1
"122" 1 0 0 0 1 1
"123" 1 0 0 0 1 1
"124" 0 0 0 0 1 0
"125" 0 1 0 0 0 0
"126" 0 0 0 0 0 0
"127" 0 1 0 0 1 1
"128" 0 0 0 0 0 0
"129" 1 0 0 1 0 1
"130" 1 0 0 0 1 1
"131" 0 0 0 0 1 0
"132" 0 0 0 1 1 1
"133" 0 0 0 1 1 1
"134" 0 0 0 0 0 0
"135" 0 0 0 0 1 0
"136" 1 0 0 0 0 0
"137" 0 0 0 0 1 0
"138" 0 1 0 0 1 1
"139" 0 0 0 0 1 0
"140" 1 0 0 0 0 0
"141" 1 0 0 0 1 1
"142" 1 0 0 0 1 1
"143" 1 0 0 0 0 0
"144" 1 0 0 1 1 1
"145" 0 0 0 0 0 0
"146" 0 0 0 0 1 0
"147" 1 0 0 0 1 1
"148" 0 0 0 0 1 0
"149" 1 0 0 0 0 0
"150" 0 0 0 0 0 0
"151" 1 1 0 1 0 1
"152" 0 0 0 1 1 1
"153" 0 0 0 0 0 0
